"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","전화번호","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","좌표정보(X)","좌표정보(Y)","약국영업면적","지정일자"
"3070000","PHMD120033070034084000013","2003-10-02","          ","01","영업/정상","13","영업중","          ","          ","          ","02-909-0508","136-130   ","서울특별시 성북구 하월곡동 70번지 305호","서울특별시 성북구 오패산로 49, 3층 (하월곡동)","02738","메디칼팜약국","2021-12-08 10:36:30","I","2026-03-26 22:34:54","203148.807469176    ","456008.527497947    ","21","2003-10-02"
"3070000","PHMD120043070034084000008","2004-07-31","          ","01","영업/정상","13","영업중","          ","          ","          ","02-941-0509","136-781   ","서울특별시 성북구 종암동 104번지 1호 종암SK아파트상가  210호","서울특별시 성북구 종암로24가길 53, 210호 (종암동, 종암SK아파트상가 )","02798","정약국","2021-12-10 09:28:21","I","2026-03-26 22:34:55","203196.800963466    ","455429.846270094    ","54","2004-07-31"
"3070000","PHMD120043070034084000009","2004-10-11","          ","01","영업/정상","13","영업중","          ","          ","          ","02-911-0488","136-877   ","서울특별시 성북구 정릉동 403번지 8호","서울특별시 성북구 보국문로 46 (정릉동)","02717","그약국","2021-12-08 14:29:56","I","2026-03-26 22:34:55","200826.253553579    ","456241.569391454    ","43","2004-10-11"
"3070000","PHMD120053070034084000002","2005-02-01","          ","01","영업/정상","13","영업중","          ","          ","          ","02-942-2712","          ","서울특별시 성북구 정릉동 397번지 13호","서울특별시 성북구 보국문로 53 (정릉동)","02709","멜론약국","2021-12-10 10:20:43","I","2026-03-26 22:34:55","200769.906176623    ","456326.63875438     ","31","2005-02-01"
"3070000","PHMD120053070034084000003","2005-03-03","          ","01","영업/정상","13","영업중","          ","          ","          ","02-942-4553","136-834   ","서울특별시 성북구 장위동 219번지 132호","서울특별시 성북구 돌곶이로41길 10 (장위동)","02754","선약국","2021-12-09 16:29:59","I","2026-03-26 22:34:55","203966.127766819    ","457346.65044866     ","41","2005-03-03"
"3080000","PHMD119733080033084000001","1973-08-08","          ","01","영업/정상","13","영업중","          ","          ","          ","02-902-8373","          ","서울특별시 강북구 수유동 435-18","서울특별시 강북구 인수봉로55길 13 (수유동)","01024","새현대약국","2020-08-28 14:53:12","I","2026-03-26 22:33:55","200999.180024983    ","459366.046559827    ","23","1973-08-08"
"3080000","PHMD119743080033084000002","1974-07-19","          ","01","영업/정상","13","영업중","          ","          ","          ","02-902-2844","142-870   ","서울특별시 강북구 인수동 372번지 2호","서울특별시 강북구 삼양로 429 (수유동)","01034","대명약국","2020-08-28 14:36:15","I","2026-03-26 22:33:55","201387.767512209    ","459937.871801407    ","20","1974-07-19"
"3080000","PHMD119753080033084000004","1975-12-18","          ","01","영업/정상","13","영업중","          ","          ","          ","02-902-4097","142-077   ","서울특별시 강북구 인수동 436번지 1호","서울특별시 강북구 인수봉로 192 (수유동)","01092","백십자약국","2021-06-30 16:03:26","I","2026-03-26 22:33:56","201089.491299623    ","459369.64475504     ","28","1975-12-18"
"3080000","PHMD119763080033084000002","1976-05-26","          ","01","영업/정상","13","영업중","          ","          ","          ","02-989-1449","142-110   ","서울특별시 강북구 삼양동 791번지 940호","서울특별시 강북구 삼양로 255 (미아동)","01110","청구약국","2020-08-28 16:08:58","I","2026-03-26 22:33:56","201520.114917605    ","458199.684362302    ","56","1976-05-26"
"3080000","PHMD119773080033084000001","1977-01-11","          ","01","영업/정상","13","영업중","          ","          ","          ","02-903-1313","          ","서울특별시 강북구 수유동 2-8","서울특별시 강북구 수유로 83 (수유동)","01080","수유동약국","2024-12-12 16:16:53","I","2026-03-26 22:33:56","201939.982032535    ","459334.591614424    ","23","1977-01-11"
"3080000","PHMD119773080033084000003","1977-06-25","          ","01","영업/정상","13","영업중","          ","          ","          ","02-981-5581","142-824   ","서울특별시 강북구 미아동 791번지 2486호","서울특별시 강북구 솔매로 38 (미아동)","01180","승약국","2020-08-28 15:16:25","I","2026-03-26 22:33:56","201378.412270044    ","458119.513529265    ","18","1977-06-25"
"3080000","PHMD119793080033084000001","1979-03-06","          ","01","영업/정상","13","영업중","          ","          ","          ","02-988-8020","          ","서울특별시 강북구 수유동 70-4 서영프라자","서울특별시 강북구 삼양로 293, 서영프라자 (수유동)","01103","삼천약국","2024-11-21 13:27:09","I","2026-03-26 22:33:56","201493.548940074    ","458597.485196888    ","25","1979-03-06"
"3080000","PHMD119813080033084000001","1981-04-21","          ","01","영업/정상","13","영업중","          ","          ","          ","02-902-6438","          ","서울특별시 강북구 수유동 269-22","서울특별시 강북구 한천로 1148 (수유동)","01046","진약국","2024-11-21 13:25:59","I","2026-03-26 22:33:57","201490.227342487    ","460491.364647461    ","21","1981-04-21"
"3080000","PHMD119813080033084000002","1981-05-28","          ","01","영업/정상","13","영업중","          ","          ","          ","02-902-5119","          ","서울특별시 강북구 수유동 36-18 진영빌딩","서울특별시 강북구 삼각산로 132, 진영빌딩 (수유동)","01075","어약국","2024-11-21 13:24:51","I","2026-03-26 22:33:57","201612.827079567    ","459827.02930018     ","46","1981-05-28"
"3080000","PHMD119823080033084000001","1982-09-14","          ","01","영업/정상","13","영업중","          ","          ","          ","02-980-1244","142-800   ","서울특별시 강북구 송중동 84번지 42호","서울특별시 강북구 오패산로30길 41 (미아동)","01233","민정약국","2021-05-17 14:51:03","I","2026-03-26 22:33:57","203011.877240128    ","456967.178879465    ","26","1982-09-14"
"3080000","PHMD119823080033084000002","1982-10-20","          ","01","영업/정상","13","영업중","          ","          ","          ","02-902-1072","142-882   ","서울특별시 강북구 인수동 360번지 20호","서울특별시 강북구 삼양로 423 (수유동)","01036","지영약국","2024-11-22 11:24:47","I","2026-03-26 22:33:57","201396.084505776    ","459875.639271846    ","22","1982-10-20"
"3200000","PHMD120113200033084000003","2016-05-03","          ","01","영업/정상","13","영업중","          ","          ","          ","02-888-2369","          ","서울특별시 관악구 봉천동 1708번지 두산아파트상가 113호","서울특별시 관악구 봉천로 391, 113호 (봉천동, 두산아파트)","08750","두산약국","2023-09-18 10:39:55","I","2026-03-26 22:35:20","194879.596231677    ","442483.131081868    ","21","2016-05-03"
"3080000","PHMD119833080033084000002","1983-09-03","          ","01","영업/정상","13","영업중","          ","          ","          ","02-993-5921","          ","서울특별시 강북구 수유동 316번지 4호","서울특별시 강북구 삼양로 466, 1층 (수유동)","01039","우림약국","2020-08-28 15:36:47","I","2026-03-26 22:33:57","201341.499686855    ","460268.348607118    ","65","1983-09-03"
"3080000","PHMD119843080033084000002","1984-10-31","          ","01","영업/정상","13","영업중","          ","          ","          ","02-988-8834","142-819   ","서울특별시 강북구 삼각산동 688번지 5호","서울특별시 강북구 솔샘로 254 (미아동)","01194","요나약국","2020-08-28 15:33:04","I","2026-03-26 22:33:57","201762.419935414    ","457441.244070216    ","35","1984-10-31"
"3080000","PHMD119863080033084000001","1986-03-11","          ","01","영업/정상","13","영업중","          ","          ","          ","02-988-2525","          ","서울특별시 강북구 미아동 838-28","서울특별시 강북구 솔샘로 227 (미아동)","01188","시대약국","2020-08-28 15:18:34","I","2026-03-26 22:33:57","201516.58527605     ","457530.048279248    ","30","1986-03-11"
"3080000","PHMD119873080033084000001","1987-04-29","          ","01","영업/정상","13","영업중","          ","          ","          ","02-999-0267","          ","서울특별시 강북구 수유동 385-7 배용표내과","서울특별시 강북구 삼양로 420, 배용표내과 (수유동)","01041","바이엘약국","2024-11-21 13:23:38","I","2026-03-26 22:33:57","201438.19397532     ","459848.132185058    ","29","1987-04-29"
"3090000","PHMD120233090033084000004","2023-09-27","          ","01","영업/정상","13","영업중","          ","          ","          ","02-6077-8884","          ","서울특별시 도봉구 창동 1-28 씨드큐브 창동 4층 401-9호","서울특별시 도봉구 마들로13길 61, 씨드큐브 창동 4층 401-9호 (창동)","01413","창동메디컬약국","2023-09-27 09:40:25","I","2026-03-26 22:34:25","204313.906829097    ","461347.878668101    ","61","2023-09-27"
"3090000","PHMD120243090033084000001","2024-02-16","          ","01","영업/정상","13","영업중","          ","          ","          ","02-993-6321","          ","서울특별시 도봉구 창동 748-2 1층","서울특별시 도봉구 도봉로136다길 26-1, 1층 (창동)","01397","바로약국","2025-09-01 13:31:04","I","2026-03-26 22:34:25","203707.967232307    ","462011.007306439    ","40","2024-02-16"
"3090000","PHMD120243090033084000002","2024-04-01","          ","01","영업/정상","13","영업중","          ","          ","          ","02-6954-2213","          ","서울특별시 도봉구 방학동 716-2 1층 101-1호","서울특별시 도봉구 도봉로150길 27, 1층 101-1호 (방학동)","01332","방학365약국","2024-04-01 13:21:52","I","2026-03-26 22:34:25","203877.582565833    ","462644.97294494     ","30","2024-04-01"
"3090000","PHMD120243090033084000004","2024-05-31","          ","01","영업/정상","13","영업중","          ","          ","          ","02-956-1064","          ","서울특별시 도봉구 도봉동 63 힐스테이트 도봉역 웰가 1층 근린생활시설동 143호","서울특별시 도봉구 도봉로180나길 19, 근린생활시설동 1층 143호 (도봉동, 힐스테이트 도봉역 웰가)","01319","새힘약국","2024-05-31 10:32:49","I","2026-03-26 22:34:25","204199.156989282    ","464552.486156478    ","34","2024-05-31"
"3090000","PHMD120243090033084000005","2024-06-12","          ","01","영업/정상","13","영업중","          ","          ","          ","02-904-3698","          ","서울특별시 도봉구 창동 256-2 범도 1층 101호","서울특별시 도봉구 노해로63다길 21, 범도 1층 101호 (창동)","01399","이화온누리약국","2024-06-12 15:57:20","I","2026-03-26 22:34:25","203999.995387086    ","461267.707968169    ","33","2024-06-12"
"3090000","PHMD120243090033084000008","2024-11-01","          ","01","영업/정상","13","영업중","          ","          ","          ","02-956-0381","          ","서울특별시 도봉구 창동 552-37 연세빌딩 1층","서울특별시 도봉구 덕릉로 218-1, 연세빌딩 1층 (창동)","01477","늘편한온누리약국","2024-11-01 18:09:52","I","2026-03-26 22:34:25","203226.207879793    ","459455.335504597    ","27","2024-11-01"
"3030000","PHMD120203030033084000006","2020-12-23","          ","01","영업/정상","13","영업중","          ","          ","          ","","          ","서울특별시 성동구 성수동2가 315-1","서울특별시 성동구 아차산로 116, 1층 (성수동2가)","04782","성수약국","2020-12-23 13:15:39","I","2026-03-26 22:34:30","204934.166661444    ","449083.056771443    ","64","2020-12-23"
"3030000","PHMD120213030033084000003","2021-06-03","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2297-6767","          ","서울특별시 성동구 금호동4가 97-1 리버마이다스빌","서울특별시 성동구 독서당로 336, 리버마이다스빌 2층 207호 (금호동4가)","04743","서울숲약국","2025-06-27 10:25:55","I","2026-03-26 22:34:30","202274.893863139    ","449496.059008973    ","39","2021-06-03"
"3030000","PHMD120213030033084000004","2021-08-04","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2294-8274","          ","서울특별시 성동구 행당동 168-78","서울특별시 성동구 마조로1길 39(행당동)","04760","설약국","2021-08-04 15:26:24","I","2026-03-26 22:34:30","203396.396351437    ","450971.242881819    ","40","2021-08-04"
"3030000","PHMD120213030033084000005","2021-09-13","          ","01","영업/정상","13","영업중","          ","          ","          ","02-465-9995","          ","서울특별시 성동구 성수동1가 14-51","서울특별시 성동구 아차산로 48(성수동1가)","04779","코코온누리약국","2023-10-18 17:25:43","I","2026-03-26 22:34:30","204306.570749979    ","449340.812048814    ","45","2021-09-13"
"3030000","PHMD120213030033084000006","2021-09-14","          ","01","영업/정상","13","영업중","          ","          ","          ","02-469-0749","          ","서울특별시 성동구 성수동2가 300-1 삼진빌딩","서울특별시 성동구 아차산로 113, 삼진빌딩 3층 303-2호 (성수동2가)","04794","든든약국","2022-12-13 15:59:57","I","2026-03-26 22:34:30","204966.098616157    ","449159.452779834    ","38","2021-09-14"
"3030000","PHMD120213030033084000007","2021-11-01","          ","01","영업/정상","13","영업중","          ","          ","          ","02-6285-0017","          ","서울특별시 성동구 하왕십리동 1070 센트라스 106호","서울특별시 성동구 왕십리로 410, 106호 (하왕십리동, 센트라스)","04701","송송약국","2024-05-21 15:34:47","I","2026-03-26 22:34:30","202372.912023599    ","451536.680876573    ","42","2021-11-01"
"3030000","PHMD120223030033084000001","2022-03-07","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2282-7808","          ","서울특별시 성동구 도선동 53 한성아펠타워","서울특별시 성동구 왕십리로 322, 한성아펠타워 102호 (도선동)","04709","조이온누리약국","2022-03-07 16:14:39","I","2026-03-26 22:34:30","202940.269719392    ","451137.071731011    ","15","2022-03-07"
"3030000","PHMD120223030033084000002","2022-05-19","          ","01","영업/정상","13","영업중","          ","          ","          ","070-7798-1281","          ","","서울특별시 성동구 왕십리로 410, L동 128-1호 (하왕십리동, 센트라스)","04701","1층이화약국","2025-01-15 15:45:07","I","2026-03-26 22:34:31","202372.912023599    ","451536.680876573    ","15","2022-05-19"
"3030000","PHMD120223030033084000003","2022-07-15","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2298-9888","          ","","서울특별시 성동구 왕십리로 333, 유성빌딩 1층 (하왕십리동)","04715","왕십리길약국","2022-07-15 14:31:30","I","2026-03-26 22:34:30","202806.018487131    ","451160.356013436    ","49","2022-07-15"
"3090000","PHMD120253090033084000001","2025-01-02","          ","01","영업/정상","13","영업중","          ","          ","          ","070-4117-1710","          ","서울특별시 도봉구 창동 75-13 1층 101호","서울특별시 도봉구 노해로65길 10, 1층 101호 (창동)","01405","참고은약국","2025-01-02 15:34:30","I","2026-03-26 22:34:25","204044.900953921    ","461047.65567042     ","25","2025-01-02"
"3090000","PHMD120253090033084000002","2025-07-24","          ","01","영업/정상","13","영업중","          ","          ","          ","02-3493-0343","          ","서울특별시 도봉구 방학동 705-2","서울특별시 도봉구 도봉로 726, 1층 102호 (방학동)","01333","고명약국","2025-07-24 16:15:45","I","2026-03-26 22:34:25","203798.965201136    ","462974.072819875    ","67","2025-07-24"
"3090000","PHMD120253090033084000003","2025-10-28","          ","01","영업/정상","13","영업중","          ","          ","          ","","          ","서울특별시 도봉구 방학동 717-6 도봉 롯데캐슬 골든파크","서울특별시 도봉구 도봉로150마길 34, 132호 (방학동, 도봉 롯데캐슬 골든파크)","01332","이온약국","2026-01-26 15:17:36","I","2026-03-26 22:34:25","203920.444016775    ","462830.484935873    ","23","2025-10-28"
"3200000","PHMD120113200033084000004","2011-01-27","          ","01","영업/정상","13","영업중","          ","          ","          ","02-867-2070","151-894   ","서울특별시 관악구 미성동 1474번지 24호","서울특별시 관악구 난곡로 305 (신림동)","08771","태연약국","2012-06-01 13:26:50","I","2026-03-26 22:35:20","192354.429685983    ","442119.985795478    ","24","2011-01-27"
"3030000","PHMD120223030033084000005","2022-11-03","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2212-8762","          ","서울특별시 성동구 마장동 444-2 정민하우스1층","서울특별시 성동구 청계천로10다길 13, 1층 (마장동, 정민하우스)","04704","정민약국","2022-11-03 16:06:25","I","2026-03-26 22:34:31","202945.529810152    ","451902.330490125    ","28","2022-11-03"
"3100000","PHMD119883100034084000060","1988-12-30","          ","01","영업/정상","13","영업중","          ","          ","          ","","139-820   ","서울특별시 노원구 상계5동 456번지 71호 1층 (노원로 34길 92)","서울특별시 노원구 노원로34길 92 (상계동)","01679","혜인약국","2011-10-31 15:12:32","I","2026-03-26 22:34:03","205768.462144405    ","462298.696810473    ","35","1988-12-30"
"3030000","PHMD120233030033084000002","2023-10-18","          ","01","영업/정상","13","영업중","          ","          ","          ","02-6012-0694","          ","서울특별시 성동구 상왕십리동 811 텐즈힐","서울특별시 성동구 마장로 137, 텐즈힐몰 2층 2154호 (상왕십리동, 텐즈힐)","04700","송약국","2023-10-18 15:29:18","I","2026-03-26 22:34:31","202113.869605464    ","451897.581865192    ","12","2023-10-18"
"3030000","PHMD120263030033084000008","2026-04-06","          ","01","영업/정상","13","영업중","          ","          ","          ","02-6953-5162","          ","서울특별시 성동구 성수동1가 656-939","서울특별시 성동구 왕십리로5길 12, 1층, 2층, 3층 (성수동1가)","04768","멜로우약국","2026-04-06 16:23:05","I","2026-04-07 22:00:52","203850.602394887    ","449416.869922684    ","105","2026-04-06"
"3090000","PHMD120163090033084000004","2016-04-26","          ","01","영업/정상","13","영업중","          ","          ","          ","070-4369-0101","          ","서울특별시 도봉구 방학동 632번지 57호 1층","서울특별시 도봉구 도당로13길 17, 1층 (방학동)","01357","산들약국","2026-04-06 11:21:04","U","2026-04-07 03:03:03","203038.041887993    ","462564.347474152    ","30","2016-04-26"
"3160000","PHMD120193160034084000016","2019-07-29","          ","01","영업/정상","13","영업중","          ","          ","          ","20666361","          ","서울특별시 구로구 고척동 73-3 일이삼전자타운","서울특별시 구로구 경인로 393-7, 일이삼전자타운 2동 1층 121,122,123호 (고척동)","08227","상산약국","2026-04-06 09:45:58","U","2026-04-07 03:03:03","187826.698183821    ","443925.52468616     ","39","2019-07-29"
"3120000","PHMD120233120033084000003","2023-05-08","          ","01","영업/정상","13","영업중","          ","          ","          ","02-739-5136","          ","서울특별시 서대문구 영천동 330","서울특별시 서대문구 통일로 185-1 (영천동)","03734","영천선약국","2026-04-07 16:50:19","U","2026-04-08 03:03:03","196588.72946568     ","451976.467294287    ","42","2023-05-08"
"3100000","PHMD119903100034084000023","1990-07-26","          ","01","영업/정상","13","영업중","          ","          ","          ","","139-756   ","서울특별시 노원구 상계동 720번지 6호 주공6단지 바상가 112호","서울특별시 노원구 노해로 506, 112호 (상계동, 주공6단지 바상가)","01752","자인당약국","2015-07-20 16:16:45","I","2026-03-26 22:34:06","205597.839995289    ","461385.208899462    ","25","1990-07-26"
"3020000","PHMD120113020033084000013","2011-09-22","          ","01","영업/정상","13","영업중","          ","          ","          ","02-792-7881","140-854   ","이촌동 300번지 27호 한강쇼핑센터2층 210 1","서울특별시 용산구 이촌로 224, 210-1, 209, 217호 (이촌동, 한강쇼핑센터)","04427","이층성장약국","2020-04-20 17:59:20","I","2026-05-02 22:31:07","197450.277644237    ","446437.197878548    ","73","2011-09-22"
"3020000","PHMD120123020033084000001","2012-01-02","          ","01","영업/정상","13","영업중","          ","          ","          ","02-793-8887","          ","서울특별시 용산구 한강로3가 63-70","서울특별시 용산구 서빙고로 17, 용산센트럴파크 해링턴스퀘어 1층 47호 (한강로3가)","04387","편한약국","2021-10-26 15:43:49","I","2026-05-02 22:31:07","197056.728931087    ","447077.126289262    ","32","2012-01-02"
"3020000","PHMD120123020033084000002","2012-01-02","          ","01","영업/정상","13","영업중","          ","          ","          ","02-774-2002","          ","서울특별시 용산구 후암동 105번지 6호","서울특별시 용산구 후암로 33-3, 1층 (후암동)","04332","온누리백합약국","2020-04-20 17:46:41","I","2026-05-02 22:31:07","197941.007694007    ","449616.994544088    ","64","2012-01-02"
"3020000","PHMD120123020033084000007","2012-08-01","          ","01","영업/정상","13","영업중","          ","          ","          ","02-774-9207","          ","서울특별시 용산구 갈월동 15-3","서울특별시 용산구 한강대로 312, 2층 2호 (갈월동)","04334","서울약국","2023-07-31 15:16:04","I","2026-05-02 22:31:09","197478.770349994    ","449308.544293884    ","82","2012-08-01"
"3030000","PHMD120133030033084000002","2013-01-28","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2298-2262","          ","서울특별시 성동구 금호동1가 128-1 금북빌딩 1층 110호, 11호","서울특별시 성동구 행당로 35, 금북빌딩 1층 110호, 111호 (금호동1가)","04721","약사랑옵티마약국","2025-03-31 10:51:13","I","2026-03-26 22:34:27","202004.452300224    ","450411.463616996    ","66","2013-01-28"
"3030000","PHMD120133030033084000005","2013-04-10","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2212-2212","133-848   ","서울특별시 성동구 용답동 62번지 2호 2층","서울특별시 성동구 천호대로 308, 2층 (용답동)","04804","새희망약국","2015-07-16 17:55:31","I","2026-03-26 22:34:27","204722.109659204    ","451439.816099616    ","53","2013-04-10"
"3030000","PHMD120133030033084000007","2013-05-09","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2293-3961","          ","서울특별시 성동구 금호동4가 1192번지 1층","서울특별시 성동구 장터길 34, 1층 (금호동4가, 남지빌딩)","04725","정은약국","2016-03-25 16:03:54","I","2026-03-26 22:34:27","201660.781574598    ","449536.6209845      ","16","2013-05-09"
"3200000","PHMD120113200033084000006","2011-03-24","          ","01","영업/정상","13","영업중","          ","          ","          ","","151-899   ","서울특별시 관악구 미성동 1568번지 11호","서울특별시 관악구 난곡로 290 (신림동)","08772","경희미소원한약국","2023-09-15 14:28:32","I","2026-03-26 22:35:20","192417.715795024    ","441968.071920565    ","18","2011-03-24"
"3210000","PHMD120263210034084000002","2026-02-02","          ","01","영업/정상","13","영업중","          ","          ","          ","","          ","서울특별시 서초구 방배동 925-10 방배병원","서울특별시 서초구 방배로 115, 1층 (방배동)","06682","해든약국","2026-04-08 10:40:56","U","2026-04-09 03:03:03","199524.663124973    ","442467.198073938    ","21","2026-02-02"
"3210000","PHMD120263210034084000010","2026-04-08","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2135-1926","          ","서울특별시 서초구 양재동 13-7 구구빌딩","서울특별시 서초구 강남대로 214, 구구빌딩 1층 101호 (양재동)","06736","양재참약국","2026-04-08 09:09:40","I","2026-04-09 22:00:52","203106.455386229    ","442342.803652458    ","33","2026-04-08"
"3030000","PHMD120263030033084000007","2026-04-06","          ","01","영업/정상","13","영업중","          ","          ","          ","","          ","서울특별시 성동구 성수동2가 273-26","서울특별시 성동구 연무장길 73, 2층 (성수동2가)","04783","도레미약국 ?(sharp) 성수점","2026-04-08 13:56:31","U","2026-04-09 03:03:03","204988.358616594    ","448876.669777099    ","85","2026-04-06"
"3030000","PHMD120143030033084000004","2014-03-24","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2294-2828","133-867   ","서울특별시 성동구 행당동 286번지 5호","서울특별시 성동구 왕십리로 315 (행당동)","04715","진약국","2014-03-24 17:08:18","I","2026-03-26 22:34:28","202956.414563213    ","451049.840993656    ","30","2014-03-24"
"3030000","PHMD120143030033084000007","2014-04-04","          ","01","영업/정상","13","영업중","          ","          ","          ","02-499-0166","133-756   ","서울특별시 성동구 성수동1가 706번지 쌍용아파트(상가B)","서울특별시 성동구 상원길 59 (성수동1가, 쌍용아파트(상가B))","04788","성은약국","2014-04-08 09:24:29","I","2026-03-26 22:34:28","204093.39625466     ","449695.084129637    ","48","2014-04-04"
"3030000","PHMD120143030033084000008","2014-05-26","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2297-9996","133-010   ","서울특별시 성동구 상왕십리동 12번지 37호","서울특별시 성동구 마장로 137, 221동 2층 110호 (상왕십리동, 텐즈힐)","04700","텐즈힐약국","2014-05-26 17:09:52","I","2026-03-26 22:34:28","202113.869605464    ","451897.581865192    ","34","2014-05-26"
"3030000","PHMD120143030033084000014","2014-11-07","          ","01","영업/정상","13","영업중","          ","          ","          ","02-407-6790","          ","서울특별시 성동구 도선동 343번지 8호","서울특별시 성동구 무학로2길 7, 1층 102호 (도선동)","04707","한샘약국","2019-10-10 16:30:41","I","2026-03-26 22:34:28","202674.875186395    ","451352.21270991     ","25","2014-11-07"
"3100000","PHMD119893100034084000035","1989-11-07","          ","01","영업/정상","13","영업중","          ","          ","          ","","139-863   ","서울특별시 노원구 중계동 505번지","서울특별시 노원구 섬밭로 263, 롯데상가1층 (중계동)","01774","장생약국","2020-08-31 11:27:50","I","2026-03-26 22:34:05","205445.843883297    ","459604.311547098    ","1","1989-11-07"
